state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Koria,Baikunthpur,Beans,Other,25/01/2020,2900,2900,2900
Chattisgarh,Koria,Baikunthpur,Beans,Other,31/01/2020,3500,3500,3500
Chattisgarh,Koria,Baikunthpur,Beans,Other,21/09/2020,1000,1000,1000
Chattisgarh,Koria,Baikunthpur,Beans,Other,30/09/2020,2500,2500,2500
Chattisgarh,Surguja,Ambikapur,Beans,"Beans (Whole)",28/11/2020,3400,3400,3400
Chattisgarh,Surguja,Ambikapur,Beans,"Beans (Whole)",09/12/2020,3200,3200,3200
Chattisgarh,Surguja,Ambikapur,Beans,Other,16/06/2020,3660,3660,3660
Chattisgarh,Surguja,Ambikapur,Beans,Other,30/06/2020,3765,3765,3765
Chattisgarh,Surguja,Ambikapur,Beans,Other,30/07/2020,3250,3250,3250
Gujarat,Amreli,Rajula,Beans,Local,07/01/2020,4005,4005,4005
Gujarat,Amreli,Rajula,Beans,Local,10/01/2020,5300,5300,5300
Gujarat,Amreli,Rajula,Beans,Local,04/02/2020,5250,5250,5250
Gujarat,Amreli,Rajula,Beans,Local,20/02/2020,5755,7205,6503
Gujarat,Amreli,Rajula,Beans,Local,03/03/2020,3300,3300,3300
Gujarat,Amreli,Rajula,Beans,Local,13/03/2020,5000,5000,5000
Gujarat,Amreli,Rajula,Beans,Local,18/06/2020,6875,6875,6875
Gujarat,Amreli,Rajula,Beans,Local,01/07/2020,5675,5675,5675
Gujarat,Amreli,Rajula,Beans,Local,14/07/2020,5000,5000,5000
Gujarat,Amreli,Rajula,Beans,Local,26/08/2020,5000,5000,5000
Gujarat,Amreli,Rajula,Beans,Local,04/09/2020,5000,5000,5000
Gujarat,Amreli,Rajula,Beans,Local,21/10/2020,7000,9255,8128
Gujarat,Amreli,Rajula,Beans,Local,24/10/2020,2000,6255,4125
Gujarat,Amreli,Rajula,Beans,Local,28/10/2020,4505,4505,4505
Gujarat,Amreli,Rajula,Beans,Local,07/11/2020,3750,3750,3750
Gujarat,Amreli,Rajula,Beans,Local,23/11/2020,5000,5000,5000
Gujarat,Anand,Tarapur,Beans,Other,03/03/2020,3805,4055,3805
Gujarat,Anand,Tarapur,Beans,Other,17/03/2020,3500,4055,3540
Gujarat,Anand,Tarapur,Beans,Other,19/03/2020,3500,4055,3511
Gujarat,Anand,Tarapur,Beans,Other,20/03/2020,1680,4055,3390
Gujarat,Anand,Tarapur,Beans,Other,23/03/2020,3755,4055,3764
Gujarat,Anand,Tarapur,Beans,Other,20/04/2020,3675,3875,3737
Gujarat,Anand,Tarapur,Beans,Other,22/04/2020,3600,3875,3685
Gujarat,Anand,Tarapur,Beans,Other,24/04/2020,3700,3900,3833
Gujarat,Anand,Tarapur,Beans,Other,28/04/2020,3750,3875,3828
Gujarat,Anand,Tarapur,Beans,Other,04/05/2020,3725,3975,3851
Gujarat,Anand,Tarapur,Beans,Other,08/05/2020,3745,4025,3842
Gujarat,Anand,Tarapur,Beans,Other,11/05/2020,3700,3875,3700
Gujarat,Anand,Tarapur,Beans,Other,06/06/2020,3255,3875,3823
Gujarat,Anand,Tarapur,Beans,Other,10/06/2020,3000,3900,3845
Gujarat,Anand,Tarapur,Beans,Other,16/06/2020,3750,3875,3816
Gujarat,Anand,Tarapur,Beans,Other,22/06/2020,2500,3875,3792
Gujarat,Anand,Tarapur,Beans,Other,25/06/2020,3805,4000,3879
Gujarat,Anand,Tarapur,Beans,Other,03/07/2020,1375,3875,2809
Gujarat,Anand,Tarapur,Beans,Other,10/07/2020,3875,4000,3973
Gujarat,Anand,Tarapur,Beans,Other,31/07/2020,3875,4010,4001
Gujarat,Anand,Tarapur,Beans,Other,25/08/2020,3875,3900,3900
Gujarat,Anand,Tarapur,Beans,Other,22/09/2020,3875,4340,4340
Gujarat,Anand,Tarapur,Beans,Other,20/10/2020,3750,4635,4313
Gujarat,Anand,Tarapur,Beans,Other,23/10/2020,1200,5055,3642
Gujarat,Dahod,Dahod,Beans,"Beans (Whole)",15/07/2020,3300,3400,3350
Gujarat,Jamnagar,Jamnagar,Beans,Other,01/01/2020,5000,9500,7250
Gujarat,Jamnagar,Jamnagar,Beans,Other,02/01/2020,3500,9500,6500
Gujarat,Jamnagar,Jamnagar,Beans,Other,06/01/2020,2000,7325,4663
Gujarat,Jamnagar,Jamnagar,Beans,Other,07/01/2020,2875,10475,6675
Gujarat,Jamnagar,Jamnagar,Beans,Other,08/01/2020,2500,7500,5000
Gujarat,Jamnagar,Jamnagar,Beans,Other,17/01/2020,3650,10575,7113
Gujarat,Jamnagar,Jamnagar,Beans,Other,18/01/2020,3725,8075,5900
Gujarat,Jamnagar,Jamnagar,Beans,Other,26/05/2020,3000,6575,4788
Gujarat,Jamnagar,Jamnagar,Beans,Other,27/05/2020,3250,6700,4975
Gujarat,Jamnagar,Jamnagar,Beans,Other,29/05/2020,4000,7000,5500
Gujarat,Jamnagar,Jamnagar,Beans,Other,01/06/2020,5000,6525,5763
Gujarat,Jamnagar,Jamnagar,Beans,Other,05/06/2020,3700,6650,5175
Gujarat,Jamnagar,Jamnagar,Beans,Other,06/06/2020,5000,6750,5875
Gujarat,Jamnagar,Jamnagar,Beans,Other,08/06/2020,3675,6600,5138
Gujarat,Jamnagar,Jamnagar,Beans,Other,10/06/2020,4800,6725,5763
Gujarat,Jamnagar,Jamnagar,Beans,Other,13/06/2020,5500,6975,6238
Gujarat,Jamnagar,Jamnagar,Beans,Other,15/06/2020,5025,7025,6025
Gujarat,Jamnagar,Jamnagar,Beans,Other,16/06/2020,4750,6825,5788
Gujarat,Jamnagar,Jamnagar,Beans,Other,17/06/2020,5525,7025,6275
Gujarat,Jamnagar,Jamnagar,Beans,Other,18/06/2020,5100,7050,6075
Gujarat,Jamnagar,Jamnagar,Beans,Other,19/06/2020,6025,7075,6550
Gujarat,Jamnagar,Jamnagar,Beans,Other,20/06/2020,5525,7250,6388
Gujarat,Jamnagar,Jamnagar,Beans,Other,22/06/2020,6000,7025,6513
Gujarat,Jamnagar,Jamnagar,Beans,Other,24/06/2020,5500,7175,6338
Gujarat,Jamnagar,Jamnagar,Beans,Other,25/06/2020,4775,6675,5725
Gujarat,Jamnagar,Jamnagar,Beans,Other,26/06/2020,5400,7125,6263
Gujarat,Jamnagar,Jamnagar,Beans,Other,29/06/2020,4625,6625,5625
Gujarat,Jamnagar,Jamnagar,Beans,Other,30/06/2020,4500,6550,5525
Gujarat,Jamnagar,Jamnagar,Beans,Other,01/07/2020,3850,7000,5425
Gujarat,Jamnagar,Jamnagar,Beans,Other,02/07/2020,5275,6975,6125
Gujarat,Jamnagar,Jamnagar,Beans,Other,03/07/2020,4625,6525,5575
Gujarat,Jamnagar,Jamnagar,Beans,Other,04/07/2020,5275,6250,5763
Gujarat,Jamnagar,Jamnagar,Beans,Other,10/07/2020,3600,6525,5063
Gujarat,Jamnagar,Jamnagar,Beans,Other,11/07/2020,5225,6300,5763
Gujarat,Jamnagar,Jamnagar,Beans,Other,14/07/2020,4400,6600,5500
Gujarat,Jamnagar,Jamnagar,Beans,Other,15/07/2020,5300,6275,5788
Gujarat,Jamnagar,Jamnagar,Beans,Other,16/07/2020,5000,7150,6075
Gujarat,Jamnagar,Jamnagar,Beans,Other,17/07/2020,6000,6350,6175
Gujarat,Jamnagar,Jamnagar,Beans,Other,18/07/2020,5000,5100,5050
Gujarat,Jamnagar,Jamnagar,Beans,Other,21/07/2020,4500,7050,5775
Gujarat,Jamnagar,Jamnagar,Beans,Other,23/07/2020,5825,7125,6475
Gujarat,Jamnagar,Jamnagar,Beans,Other,24/07/2020,6000,6225,6113
Gujarat,Jamnagar,Jamnagar,Beans,Other,25/07/2020,4250,4500,4375
Gujarat,Jamnagar,Jamnagar,Beans,Other,27/07/2020,2300,4500,3400
Gujarat,Jamnagar,Jamnagar,Beans,Other,17/08/2020,3500,5525,4513
Gujarat,Jamnagar,Jamnagar,Beans,Other,19/08/2020,3600,4350,4050
Gujarat,Jamnagar,Jamnagar,Beans,Other,25/08/2020,2500,5800,4150
Gujarat,Jamnagar,Jamnagar,Beans,Other,26/08/2020,3325,4875,4100
Gujarat,Jamnagar,Jamnagar,Beans,Other,01/09/2020,4150,7250,5700
Gujarat,Jamnagar,Jamnagar,Beans,Other,21/09/2020,2500,3000,2750
Gujarat,Jamnagar,Jamnagar,Beans,Other,24/09/2020,3500,5525,4513
Gujarat,Jamnagar,Jamnagar,Beans,Other,26/09/2020,5000,6725,5863
Gujarat,Jamnagar,Jamnagar,Beans,Other,03/10/2020,3200,8325,5763
Gujarat,Jamnagar,Jamnagar,Beans,Other,05/10/2020,3500,7500,5500
Gujarat,Jamnagar,Jamnagar,Beans,Other,06/10/2020,3500,5525,4513
Gujarat,Jamnagar,Jamnagar,Beans,Other,07/10/2020,3250,6000,4625
Gujarat,Jamnagar,Jamnagar,Beans,Other,08/10/2020,3500,3700,3600
Gujarat,Jamnagar,Jamnagar,Beans,Other,09/10/2020,3500,7350,5425
Gujarat,Jamnagar,Jamnagar,Beans,Other,12/10/2020,4500,7350,5925
Gujarat,Jamnagar,Jamnagar,Beans,Other,14/10/2020,4500,7475,5988
Gujarat,Jamnagar,Jamnagar,Beans,Other,24/10/2020,5000,5375,5188
Gujarat,Jamnagar,Jamnagar,Beans,Other,26/10/2020,2500,6000,4250
Gujarat,Jamnagar,Jamnagar,Beans,Other,28/10/2020,3250,7625,5438
Gujarat,Jamnagar,Jamnagar,Beans,Other,29/10/2020,3600,6175,4888
Gujarat,Jamnagar,Jamnagar,Beans,Other,23/11/2020,4500,6025,5263
Gujarat,Jamnagar,Jamnagar,Beans,Other,25/11/2020,4650,6725,5688
Gujarat,Jamnagar,Jamnagar,Beans,Other,26/11/2020,4700,6675,5688
Gujarat,Jamnagar,Jamnagar,Beans,Other,01/12/2020,6350,7175,6763
Gujarat,Jamnagar,Jamnagar,Beans,Other,02/12/2020,5700,6750,6225
Gujarat,Jamnagar,Jamnagar,Beans,Other,03/12/2020,5875,7000,6438
Gujarat,Jamnagar,Jamnagar,Beans,Other,04/12/2020,5500,6950,6225
Gujarat,Jamnagar,Jamnagar,Beans,Other,09/12/2020,5000,5625,5313
Gujarat,Jamnagar,Jamnagar,Beans,Other,11/12/2020,6625,7300,6963
Gujarat,Jamnagar,Jamnagar,Beans,Other,16/12/2020,5575,7525,6550
Gujarat,Jamnagar,Jamnagar,Beans,Other,17/12/2020,3600,7275,5438
Gujarat,Jamnagar,Jamnagar,Beans,Other,18/12/2020,4000,5150,4575
Gujarat,Jamnagar,Jamnagar,Beans,Other,19/12/2020,5650,7000,6325
Gujarat,Jamnagar,Jamnagar,Beans,Other,21/12/2020,3500,6675,5088
Gujarat,Jamnagar,Jamnagar,Beans,Other,22/12/2020,3950,6300,5125
Gujarat,Jamnagar,Jamnagar,Beans,Other,23/12/2020,4500,5450,4975
Gujarat,Jamnagar,Jamnagar,Beans,Other,24/12/2020,4000,6900,5450
Gujarat,Jamnagar,Jamnagar,Beans,Other,26/12/2020,5250,7000,6125
Gujarat,Jamnagar,Jamnagar,Beans,Other,28/12/2020,4000,6525,5263
Gujarat,Jamnagar,Jamnagar,Beans,Other,29/12/2020,3500,5125,4313
Gujarat,Jamnagar,Jamnagar,Beans,Other,30/12/2020,2500,3500,3000
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",29/01/2020,2500,7005,5000
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",20/02/2020,2500,3500,3000
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",04/03/2020,4000,6000,4500
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",13/03/2020,3000,6500,5000
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",16/03/2020,3750,5150,4250
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",09/05/2020,6155,6155,6155
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",11/05/2020,4550,4550,4550
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",14/05/2020,4850,6475,5250
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",21/05/2020,2500,5425,4500
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",22/05/2020,4000,6250,5250
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",08/06/2020,3350,5375,4500
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",09/06/2020,4000,5750,5000
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",16/06/2020,4500,6825,5500
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",22/07/2020,5600,5600,5600
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",23/07/2020,5600,5600,5600
Gujarat,Junagarh,Junagadh,Beans,"Beans (Whole)",28/09/2020,6350,6350,6350
Gujarat,Junagarh,Visavadar,Beans,Other,06/01/2020,3220,4010,3615
Gujarat,Junagarh,Visavadar,Beans,Other,10/01/2020,3000,4350,3675
Gujarat,Junagarh,Visavadar,Beans,Other,15/01/2020,2750,3500,3125
Gujarat,Junagarh,Visavadar,Beans,Other,16/01/2020,3850,4600,4225
Gujarat,Junagarh,Visavadar,Beans,Other,17/01/2020,4035,5005,4520
Gujarat,Junagarh,Visavadar,Beans,Other,20/01/2020,3070,4460,3765
Gujarat,Junagarh,Visavadar,Beans,Other,24/01/2020,3165,3945,3555
Gujarat,Junagarh,Visavadar,Beans,Other,25/01/2020,3750,4850,4300
Gujarat,Junagarh,Visavadar,Beans,Other,28/01/2020,2885,3625,3255
Gujarat,Junagarh,Visavadar,Beans,Other,11/02/2020,2915,3555,3235
Gujarat,Junagarh,Visavadar,Beans,Other,18/02/2020,2750,3800,3275
Gujarat,Junagarh,Visavadar,Beans,Other,19/02/2020,3125,4045,3585
Gujarat,Junagarh,Visavadar,Beans,Other,20/02/2020,3165,3905,3535
Gujarat,Junagarh,Visavadar,Beans,Other,24/02/2020,4220,5590,4905
Gujarat,Junagarh,Visavadar,Beans,Other,25/02/2020,2750,3500,3125
Gujarat,Junagarh,Visavadar,Beans,Other,26/02/2020,4275,5465,4870
Gujarat,Junagarh,Visavadar,Beans,Other,28/02/2020,3370,4410,3890
Gujarat,Junagarh,Visavadar,Beans,Other,06/03/2020,3500,5000,4250
Gujarat,Junagarh,Visavadar,Beans,Other,09/03/2020,2750,3500,3125
Gujarat,Junagarh,Visavadar,Beans,Other,11/03/2020,2875,3765,3320
Gujarat,Junagarh,Visavadar,Beans,Other,12/03/2020,3625,4995,4310
Gujarat,Junagarh,Visavadar,Beans,Other,18/03/2020,4885,6425,5655
Gujarat,Junagarh,Visavadar,Beans,Other,19/03/2020,5125,6065,5595
Gujarat,Junagarh,Visavadar,Beans,Other,20/03/2020,3750,4550,4150
Gujarat,Junagarh,Visavadar,Beans,Other,15/06/2020,3000,4200,3600
Gujarat,Junagarh,Visavadar,Beans,Other,16/06/2020,3150,4750,3950
Gujarat,Junagarh,Visavadar,Beans,Other,19/06/2020,3250,5650,4450
Gujarat,Junagarh,Visavadar,Beans,Other,24/06/2020,4110,6170,5140
Gujarat,Junagarh,Visavadar,Beans,Other,26/06/2020,3500,5000,4250
Gujarat,Junagarh,Visavadar,Beans,Other,29/06/2020,3250,4000,3625
Gujarat,Junagarh,Visavadar,Beans,Other,10/07/2020,4120,5590,4855
Gujarat,Junagarh,Visavadar,Beans,Other,11/07/2020,4415,5275,4845
Gujarat,Junagarh,Visavadar,Beans,Other,13/07/2020,4250,5000,4625
Gujarat,Junagarh,Visavadar,Beans,Other,20/07/2020,4480,5020,4750
Gujarat,Junagarh,Visavadar,Beans,Other,22/07/2020,4415,4505,4460
Gujarat,Junagarh,Visavadar,Beans,Other,23/07/2020,3770,5130,4450
Gujarat,Junagarh,Visavadar,Beans,Other,24/07/2020,3400,3600,3500
Gujarat,Junagarh,Visavadar,Beans,Other,29/07/2020,3775,7995,4385
Gujarat,Junagarh,Visavadar,Beans,Other,17/08/2020,4690,5060,4875
Gujarat,Junagarh,Visavadar,Beans,Other,19/08/2020,4265,4625,4445
Gujarat,Junagarh,Visavadar,Beans,Other,21/08/2020,3300,4000,3650
Gujarat,Junagarh,Visavadar,Beans,Other,26/08/2020,2850,3500,3475
Gujarat,Junagarh,Visavadar,Beans,Other,28/08/2020,3200,3500,3350
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",17/03/2020,0,5400,5400
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",09/05/2020,6850,8700,7775
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",11/05/2020,0,8500,8500
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",12/05/2020,8000,8875,8435
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",13/05/2020,8250,8850,8550
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",14/05/2020,7025,8100,7560
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",15/05/2020,7275,7525,7400
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",16/05/2020,6975,7175,7075
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",18/05/2020,6875,8200,7090
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",19/05/2020,6500,7175,6840
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",22/05/2020,6000,6825,6415
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",23/05/2020,5600,6425,6015
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",25/05/2020,5350,6400,5875
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",26/05/2020,5775,6475,6125
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",27/05/2020,6025,6425,6225
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",28/05/2020,5750,6375,6065
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",29/05/2020,5500,6425,5965
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",06/06/2020,5525,6850,6190
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",09/06/2020,5500,6550,6025
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",10/06/2020,6500,7275,6890
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",11/06/2020,5500,6550,6025
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",12/06/2020,5550,6775,6165
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",13/06/2020,6000,6375,6190
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",15/06/2020,6125,7200,6665
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",16/06/2020,6150,7200,6675
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",18/06/2020,6375,6925,6650
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",19/06/2020,5925,7175,6550
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",22/06/2020,0,6450,6450
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",23/06/2020,0,5025,5025
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",25/06/2020,0,7000,7000
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",26/06/2020,6150,7075,6615
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",27/06/2020,4700,7300,6000
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",29/06/2020,4200,5000,4600
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",30/06/2020,4500,5000,4750
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",29/07/2020,0,6700,6700
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",30/07/2020,0,4150,4150
Gujarat,Rajkot,Jasdan,Beans,Other,06/01/2020,3500,5000,4750
Gujarat,Rajkot,Jasdan,Beans,Other,07/01/2020,4500,4500,4500
Gujarat,Rajkot,Jasdan,Beans,Other,08/01/2020,5500,5500,5500
Gujarat,Rajkot,Jasdan,Beans,Other,09/01/2020,3750,5005,4500
Gujarat,Rajkot,Jasdan,Beans,Other,10/01/2020,5250,5250,5250
Gujarat,Rajkot,Jasdan,Beans,Other,13/01/2020,5125,5125,5125
Gujarat,Rajkot,Jasdan,Beans,Other,15/01/2020,4000,4000,4000
Gujarat,Rajkot,Jasdan,Beans,Other,17/01/2020,4750,5495,5350
Gujarat,Rajkot,Jasdan,Beans,Other,18/01/2020,4000,5250,4900
Gujarat,Rajkot,Jasdan,Beans,Other,20/01/2020,3750,5125,4850
Gujarat,Rajkot,Jasdan,Beans,Other,21/01/2020,4500,5725,5250
Gujarat,Rajkot,Jasdan,Beans,Other,22/01/2020,5300,5300,5300
Gujarat,Rajkot,Jasdan,Beans,Other,23/01/2020,5000,5500,5250
Gujarat,Rajkot,Jasdan,Beans,Other,27/01/2020,4500,5250,4900
Gujarat,Rajkot,Jasdan,Beans,Other,28/01/2020,5500,5500,5500
Gujarat,Rajkot,Jasdan,Beans,Other,29/01/2020,5500,5500,5500
Gujarat,Rajkot,Jasdan,Beans,Other,30/01/2020,6635,6635,6635
Gujarat,Rajkot,Jasdan,Beans,Other,31/01/2020,5000,5000,5000
Gujarat,Rajkot,Jasdan,Beans,Other,10/02/2020,4900,6000,5500
Gujarat,Rajkot,Jasdan,Beans,Other,11/02/2020,5000,5950,5625
Gujarat,Rajkot,Jasdan,Beans,Other,12/02/2020,5000,6200,5500
Gujarat,Rajkot,Jasdan,Beans,Other,18/02/2020,5000,6250,5500
Gujarat,Rajkot,Jasdan,Beans,Other,19/02/2020,5000,6175,5500
Gujarat,Rajkot,Jasdan,Beans,Other,20/02/2020,5000,6390,5750
Gujarat,Rajkot,Jasdan,Beans,Other,24/02/2020,5000,6250,5625
Gujarat,Rajkot,Jasdan,Beans,Other,25/02/2020,5000,6000,5500
Gujarat,Rajkot,Jasdan,Beans,Other,26/02/2020,4000,6000,5500
Gujarat,Rajkot,Jasdan,Beans,Other,27/02/2020,4500,5500,5250
Gujarat,Rajkot,Jasdan,Beans,Other,28/02/2020,4775,6100,5500
Gujarat,Rajkot,Jasdan,Beans,Other,29/02/2020,5000,6500,5900
Gujarat,Rajkot,Jasdan,Beans,Other,03/03/2020,5000,6750,6000
Gujarat,Rajkot,Jasdan,Beans,Other,04/03/2020,5000,6150,5750
Gujarat,Rajkot,Jasdan,Beans,Other,05/03/2020,5000,6000,5500
Gujarat,Rajkot,Jasdan,Beans,Other,06/03/2020,4500,6000,5250
Gujarat,Rajkot,Jasdan,Beans,Other,07/03/2020,5000,6000,5650
Gujarat,Rajkot,Jasdan,Beans,Other,09/03/2020,4750,5950,5500
Gujarat,Rajkot,Jasdan,Beans,Other,11/03/2020,4500,6125,5500
Gujarat,Rajkot,Jasdan,Beans,Other,12/03/2020,5125,6000,5500
Gujarat,Rajkot,Jasdan,Beans,Other,13/03/2020,4900,6000,5500
Gujarat,Rajkot,Jasdan,Beans,Other,16/03/2020,5250,6000,5500
Gujarat,Rajkot,Jasdan,Beans,Other,17/03/2020,5000,6000,5500
Gujarat,Rajkot,Jasdan,Beans,Other,18/03/2020,5000,6000,5625
Gujarat,Rajkot,Jasdan,Beans,Other,19/03/2020,5000,6025,5500
Gujarat,Rajkot,Jasdan,Beans,Other,20/03/2020,4775,6015,5500
Gujarat,Rajkot,Jasdan,Beans,Other,21/03/2020,4950,6150,5775
Gujarat,Rajkot,Jasdan,Beans,Other,23/06/2020,3500,6550,5250
