state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Balodabazar,Bhatapara,"Black Gram (Urd Beans)(Whole)",Other,07/01/2020,3990,4800,4800
Chattisgarh,Balodabazar,Bhatapara,"Black Gram (Urd Beans)(Whole)",Other,13/01/2020,3700,3700,3700
Chattisgarh,Dhamtari,Kurud,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",13/01/2020,3700,3875,3750
Chattisgarh,Gariyaband,Devbhog,"Black Gram (Urd Beans)(Whole)",Other,09/01/2020,4500,4500,4500
Chattisgarh,Kabirdham,Kawardha,"Black Gram (Urd Beans)(Whole)",Desi,14/01/2020,3505,3832,3505
Chattisgarh,Kondagaon,Bededonger,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",10/01/2020,6000,6000,6000
Chattisgarh,Kondagaon,Dhanora,"Black Gram (Urd Beans)(Whole)",Other,11/01/2020,5900,6000,5950
Chattisgarh,Kondagaon,Makdi,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",06/01/2020,6000,7000,6500
Chattisgarh,Narayanpur,Narayanpur,"Black Gram (Urd Beans)(Whole)",Desi,07/01/2020,6000,6800,6700
Chattisgarh,Narayanpur,Narayanpur,"Black Gram (Urd Beans)(Whole)",Desi,10/01/2020,6500,6800,6700
Chattisgarh,Narayanpur,Narayanpur,"Black Gram (Urd Beans)(Whole)",Desi,11/01/2020,6600,7000,6800
Chattisgarh,Narayanpur,Narayanpur,"Black Gram (Urd Beans)(Whole)",Desi,14/01/2020,6500,7000,6800
Chattisgarh,Rajnandgaon,Rajnandgaon,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",04/01/2020,4399,4399,4399
Chattisgarh,Rajnandgaon,Rajnandgaon,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",06/01/2020,4600,4600,4600
Gujarat,Amreli,Amreli,"Black Gram (Urd Beans)(Whole)",Hybrid,01/01/2020,2075,7550,5750
Gujarat,Amreli,Amreli,"Black Gram (Urd Beans)(Whole)",Hybrid,02/01/2020,2500,8005,5475
Gujarat,Amreli,Amreli,"Black Gram (Urd Beans)(Whole)",Hybrid,03/01/2020,3750,8060,5955
Gujarat,Amreli,Amreli,"Black Gram (Urd Beans)(Whole)",Hybrid,04/01/2020,2500,6875,3380
Gujarat,Amreli,Amreli,"Black Gram (Urd Beans)(Whole)",Hybrid,06/01/2020,3475,7125,5480
Gujarat,Amreli,Amreli,"Black Gram (Urd Beans)(Whole)",Hybrid,07/01/2020,3020,8630,5025
Gujarat,Amreli,Amreli,"Black Gram (Urd Beans)(Whole)",Hybrid,08/01/2020,3225,8500,5000
