state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,01/01/2020,3775,4625,4200
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,03/01/2020,5850,5850,5850
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,06/01/2020,4125,4125,4125
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,07/01/2020,4005,4130,4068
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,08/01/2020,3625,3625,3625
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,09/01/2020,3650,4205,3928
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,10/01/2020,3625,4000,3813
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,15/01/2020,3930,4000,3965
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,17/01/2020,3850,3850,3850
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,18/01/2020,3700,3700,3700
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,20/01/2020,3125,3805,3465
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,21/01/2020,3625,4500,4063
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,22/01/2020,3000,3625,3313
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,24/01/2020,3585,4505,4045
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,25/01/2020,3750,3750,3750
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,27/01/2020,4550,4740,4645
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,28/01/2020,3505,5000,4253
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,29/01/2020,4000,4000,4000
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,30/01/2020,4225,4225,4225
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,01/02/2020,3800,3800,3800
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,03/02/2020,3450,4405,3928
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,04/02/2020,3475,3800,3638
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,14/02/2020,3685,3850,3768
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,15/02/2020,3690,3805,3748
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,17/02/2020,3655,4205,3930
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,18/02/2020,3615,4000,3808
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,19/02/2020,3755,4170,3963
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,20/02/2020,3720,3910,3815
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,25/02/2020,3250,4155,3703
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,26/02/2020,3600,3905,3753
Gujarat,Amreli,Rajula,"Kabuli Chana(Chickpeas-White)",Kabul,27/02/2020,3750,4200,3975
