state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Kerala,Idukki,Adimali,Coffee,Other,19/02/2021,5800,5800,5800
Kerala,Idukki,Kattappana,Coffee,Other,08/01/2021,13500,13500,13500
Kerala,Idukki,Kattappana,Coffee,Other,09/01/2021,13500,13500,13500
Kerala,Idukki,Kattappana,Coffee,Other,15/01/2021,13500,14000,13600
Kerala,Idukki,Kattappana,Coffee,Other,16/01/2021,13500,13500,13500
Kerala,Idukki,Kattappana,Coffee,Other,30/01/2021,12800,13500,13500
Kerala,Idukki,Kattappana,Coffee,Other,22/02/2021,13500,13500,13500
Kerala,Idukki,Nedumkandam,Coffee,Other,05/01/2021,11000,11000,11000
Kerala,Idukki,Nedumkandam,Coffee,Other,14/01/2021,11000,11000,11000
Kerala,Idukki,Nedumkandam,Coffee,Other,20/01/2021,11000,11000,11000
Kerala,Idukki,Nedumkandam,Coffee,Other,26/01/2021,11000,11000,11000
Kerala,Idukki,Nedumkandam,Coffee,Other,02/02/2021,11000,11000,11000
Kerala,Idukki,Nedumkandam,Coffee,Other,05/02/2021,11000,11000,11000
Kerala,Idukki,Nedumkandam,Coffee,Other,11/02/2021,11000,11000,11000
Kerala,Idukki,Nedumkandam,Coffee,Other,18/02/2021,11500,11500,11500
Kerala,Idukki,Nedumkandam,Coffee,Other,24/02/2021,11000,11000,11000
Kerala,Idukki,Nedumkandam,Coffee,Other,28/02/2021,11000,11000,11000
Kerala,Idukki,Nedumkandam,Coffee,Other,06/03/2021,11500,11500,11500
Kerala,Wayanad,Kalpetta,Coffee,Other,01/01/2021,12300,12400,12400
Kerala,Wayanad,Kalpetta,Coffee,Other,02/01/2021,12300,12400,12400
Kerala,Wayanad,Kalpetta,Coffee,Other,04/01/2021,11900,12000,12000
Kerala,Wayanad,Kalpetta,Coffee,Other,05/01/2021,11900,12000,12000
Kerala,Wayanad,Kalpetta,Coffee,Other,06/01/2021,11800,11900,11900
Kerala,Wayanad,Kalpetta,Coffee,Other,07/01/2021,11800,11900,11900
Kerala,Wayanad,Kalpetta,Coffee,Other,08/01/2021,11700,11800,11800
Kerala,Wayanad,Kalpetta,Coffee,Other,09/01/2021,11600,11700,11700
Kerala,Wayanad,Kalpetta,Coffee,Other,11/01/2021,11400,11500,11500
Kerala,Wayanad,Kalpetta,Coffee,Other,12/01/2021,11400,11500,11500
Kerala,Wayanad,Kalpetta,Coffee,Other,13/01/2021,11400,11500,11500
Kerala,Wayanad,Kalpetta,Coffee,Other,14/01/2021,11200,11300,11300
Kerala,Wayanad,Kalpetta,Coffee,Other,15/01/2021,11200,11300,11300
Kerala,Wayanad,Kalpetta,Coffee,Other,16/01/2021,11200,11300,11300
Kerala,Wayanad,Kalpetta,Coffee,Other,18/01/2021,11500,11600,11600
Kerala,Wayanad,Kalpetta,Coffee,Other,19/01/2021,11500,11600,11600
Kerala,Wayanad,Kalpetta,Coffee,Other,20/01/2021,11500,11600,11600
Kerala,Wayanad,Kalpetta,Coffee,Other,21/01/2021,11500,11600,11600
Kerala,Wayanad,Kalpetta,Coffee,Other,22/01/2021,11400,11500,11500
Kerala,Wayanad,Kalpetta,Coffee,Other,25/01/2021,11300,11400,11400
Kerala,Wayanad,Kalpetta,Coffee,Other,26/01/2021,11300,11400,11400
Kerala,Wayanad,Kalpetta,Coffee,Other,27/01/2021,11300,11400,11400
Kerala,Wayanad,Kalpetta,Coffee,Other,28/01/2021,11300,11400,11400
Kerala,Wayanad,Kalpetta,Coffee,Other,29/01/2021,11300,11400,11400
Kerala,Wayanad,Kalpetta,Coffee,Other,30/01/2021,11300,11400,11400
Kerala,Wayanad,Kalpetta,Coffee,Other,01/02/2021,11100,11200,11200
Kerala,Wayanad,Kalpetta,Coffee,Other,02/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,03/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,04/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,05/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,06/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,08/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,09/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,10/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,11/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,12/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,13/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,14/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,15/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,16/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,17/02/2021,11000,11200,11200
Kerala,Wayanad,Kalpetta,Coffee,Other,18/02/2021,11000,11200,11200
Kerala,Wayanad,Kalpetta,Coffee,Other,19/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,20/02/2021,10900,11000,11000
Kerala,Wayanad,Kalpetta,Coffee,Other,22/02/2021,11000,11100,11100
Kerala,Wayanad,Kalpetta,Coffee,Other,23/02/2021,11000,11100,11100
Kerala,Wayanad,Kalpetta,Coffee,Other,24/02/2021,11000,11100,11100
Kerala,Wayanad,Kalpetta,Coffee,Other,25/02/2021,11000,11100,11100
Kerala,Wayanad,Kalpetta,Coffee,Other,26/02/2021,11000,11100,11100
Kerala,Wayanad,Kalpetta,Coffee,Other,27/02/2021,11000,11100,11100
Kerala,Wayanad,Kalpetta,Coffee,Other,01/03/2021,11100,11200,11200
Kerala,Wayanad,Kalpetta,Coffee,Other,02/03/2021,11100,11200,11200
Kerala,Wayanad,Kalpetta,Coffee,Other,03/03/2021,11100,11200,11200
Kerala,Wayanad,Kalpetta,Coffee,Other,04/03/2021,11200,11300,11300
Kerala,Wayanad,Kalpetta,Coffee,Other,05/03/2021,11300,11400,11400
Kerala,Wayanad,Kalpetta,Coffee,Other,06/03/2021,11300,11400,11400
Kerala,Wayanad,Kalpetta,Coffee,Other,08/03/2021,11200,11300,11300
Kerala,Wayanad,Kalpetta,Coffee,Other,09/03/2021,11200,11300,11300
Kerala,Wayanad,Kalpetta,Coffee,Other,10/03/2021,11200,11300,11300
Kerala,Wayanad,Manathavady,Coffee,Other,06/01/2021,6000,6500,6250
Kerala,Wayanad,Manathavady,Coffee,Other,07/01/2021,6500,6600,6550
Kerala,Wayanad,Manathavady,Coffee,Other,13/01/2021,6100,6500,6300
Kerala,Wayanad,Manathavady,Coffee,Other,15/01/2021,6400,6500,6450
Kerala,Wayanad,Manathavady,Coffee,Other,16/01/2021,6400,6600,6500
Kerala,Wayanad,Manathavady,Coffee,Other,18/01/2021,6400,6500,6450
Kerala,Wayanad,Manathavady,Coffee,Other,19/01/2021,6500,6500,6500
Kerala,Wayanad,Manathavady,Coffee,Other,20/01/2021,6400,6500,6450
Kerala,Wayanad,Manathavady,Coffee,Other,21/01/2021,6400,6500,6450
Kerala,Wayanad,Manathavady,Coffee,Other,22/01/2021,6400,6500,6450
Kerala,Wayanad,Manathavady,Coffee,Other,23/01/2021,6400,6500,6450
Kerala,Wayanad,Manathavady,Coffee,Other,25/01/2021,6300,6500,6400
Kerala,Wayanad,Manathavady,Coffee,Other,26/01/2021,6200,6500,6350
Kerala,Wayanad,Manathavady,Coffee,Other,27/01/2021,6300,6500,6400
Kerala,Wayanad,Manathavady,Coffee,Other,28/01/2021,6300,6500,6400
Kerala,Wayanad,Manathavady,Coffee,Other,29/01/2021,6200,6500,6350
Kerala,Wayanad,Manathavady,Coffee,Other,31/01/2021,6200,6400,6300
Kerala,Wayanad,Manathavady,Coffee,Other,01/02/2021,6200,6300,6250
Kerala,Wayanad,Manathavady,Coffee,Other,02/02/2021,6200,6300,6250
Kerala,Wayanad,Manathavady,Coffee,Other,05/02/2021,6200,6200,6200
Kerala,Wayanad,Manathavady,Coffee,Other,06/02/2021,6200,6200,6200
Kerala,Wayanad,Manathavady,Coffee,Other,10/02/2021,6200,6300,6250
Kerala,Wayanad,Manathavady,Coffee,Other,11/02/2021,6200,6300,6250
Kerala,Wayanad,Manathavady,Coffee,Other,12/02/2021,6200,6250,6200
Kerala,Wayanad,Manathavady,Coffee,Other,13/02/2021,6200,6200,6200
Kerala,Wayanad,Manathavady,Coffee,Other,15/02/2021,6200,6200,6200
Kerala,Wayanad,Manathavady,Coffee,Other,16/02/2021,6200,6300,6250
Kerala,Wayanad,Manathavady,Coffee,Other,17/02/2021,6200,6300,6250
Kerala,Wayanad,Manathavady,Coffee,Other,18/02/2021,6200,6300,6250
Kerala,Wayanad,Manathavady,Coffee,Other,19/02/2021,6200,6300,6250
Kerala,Wayanad,Manathavady,Coffee,Other,20/02/2021,6200,6300,6250
Kerala,Wayanad,Manathavady,Coffee,Other,22/02/2021,6300,6400,6350
Kerala,Wayanad,Manathavady,Coffee,Other,23/02/2021,6200,6300,6250
Kerala,Wayanad,Manathavady,Coffee,Other,25/02/2021,6300,6400,6350
Kerala,Wayanad,Manathavady,Coffee,Other,26/02/2021,6300,6500,6400
Kerala,Wayanad,Manathavady,Coffee,Other,27/02/2021,6300,6500,6400
Kerala,Wayanad,Manathavady,Coffee,Other,28/02/2021,6400,6500,6450
Kerala,Wayanad,Manathavady,Coffee,Other,01/03/2021,6400,6450,6450
Kerala,Wayanad,Manathavady,Coffee,Other,02/03/2021,6500,6600,6550
Kerala,Wayanad,Manathavady,Coffee,Other,03/03/2021,6200,6300,6300
Kerala,Wayanad,Manathavady,Coffee,Other,05/03/2021,6300,6400,6400
Kerala,Wayanad,Manathavady,Coffee,Other,06/03/2021,6300,6400,6400
Kerala,Wayanad,Manathavady,Coffee,Other,07/03/2021,6300,6400,6400
Kerala,Wayanad,Manathavady,Coffee,Other,08/03/2021,8550,8600,8600
Kerala,Wayanad,Manathavady,Coffee,Other,09/03/2021,6350,6400,6400
Kerala,Wayanad,Manathavady,Coffee,Other,10/03/2021,6400,6400,6400
Kerala,Wayanad,Pulpally,Coffee,Other,05/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,06/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,08/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,09/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,11/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,12/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,13/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,16/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,18/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,19/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,20/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,25/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,27/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,28/01/2021,7500,9500,8500
Kerala,Wayanad,Pulpally,Coffee,Other,29/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,30/01/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,01/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,02/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,03/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,04/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,05/02/2021,6600,6800,6700
Kerala,Wayanad,Pulpally,Coffee,Other,06/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,07/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,10/02/2021,5800,7800,6800
Kerala,Wayanad,Pulpally,Coffee,Other,11/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,12/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,15/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,16/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,17/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,18/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,20/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,22/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,23/02/2021,6800,8800,7800
Kerala,Wayanad,Pulpally,Coffee,Other,24/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,25/02/2021,5600,7600,6600
Kerala,Wayanad,Pulpally,Coffee,Other,26/02/2021,5600,7600,6600
Kerala,Wayanad,Pulpally,Coffee,Other,27/02/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,01/03/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,03/03/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,04/03/2021,5800,7800,6800
Kerala,Wayanad,Pulpally,Coffee,Other,05/03/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,06/03/2021,5600,7600,6600
Kerala,Wayanad,Pulpally,Coffee,Other,08/03/2021,6600,8600,7600
Kerala,Wayanad,Pulpally,Coffee,Other,09/03/2021,5800,7800,6800
Kerala,Wayanad,Pulpally,Coffee,Other,10/03/2021,6800,8800,7800
"Tamil Nadu",Namakkal,Namagiripettai,Coffee,Other,27/01/2021,18500,19250,18750
"Tamil Nadu",Namakkal,Namagiripettai,Coffee,Other,02/02/2021,18500,19500,19000
"Tamil Nadu",Namakkal,Namagiripettai,Coffee,Other,03/02/2021,18500,21000,19000
"Tamil Nadu",Namakkal,Namagiripettai,Coffee,Other,05/02/2021,18300,19200,18750
"Tamil Nadu",Namakkal,Namagiripettai,Coffee,Other,16/02/2021,18200,19500,18750
"Tamil Nadu",Namakkal,Namagiripettai,Coffee,Other,18/02/2021,18400,19200,18750
