state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",02/01/2021,5200,5765,5480
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",04/01/2021,5130,5780,5455
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",05/01/2021,5255,5785,5520
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",06/01/2021,5360,5815,5590
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",07/01/2021,5250,5855,5550
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",08/01/2021,5250,5825,5540
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",09/01/2021,5000,5785,5390
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",11/01/2021,5250,5835,5540
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",12/01/2021,4950,5835,5390
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",13/01/2021,5250,5820,5535
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",15/01/2021,5115,5825,5470
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",16/01/2021,5330,5775,5550
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",18/01/2021,4755,5790,5275
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",19/01/2021,5315,5855,5585
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",20/01/2021,5000,5850,5425
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",21/01/2021,5000,5785,5390
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",22/01/2021,5240,5905,5570
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",23/01/2021,5210,5925,5565
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",25/01/2021,5125,6015,5580
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",27/01/2021,5255,6025,5640
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",28/01/2021,5270,5900,5585
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",29/01/2021,5220,5950,5585
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",30/01/2021,5000,5965,5480
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",03/02/2021,5000,5875,5440
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",04/02/2021,5300,5855,5580
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",05/02/2021,5250,5980,5615
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",06/02/2021,5370,5875,5620
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",08/02/2021,5200,6015,5605
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",09/02/2021,5440,6000,5720
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",10/02/2021,5200,6025,5610
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",11/02/2021,5125,5845,5485
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",12/02/2021,5000,6000,5500
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",13/02/2021,5225,6050,5635
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",15/02/2021,5480,6255,5870
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",16/02/2021,5500,6175,5840
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",17/02/2021,5640,6100,5870
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",18/02/2021,5375,6205,5790
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",19/02/2021,5000,6205,5600
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",20/02/2021,5420,6270,5845
