state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,01/01/2021,3400,3425,3400
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,02/01/2021,3450,3480,3450
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,04/01/2021,3330,4001,3505
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,05/01/2021,3410,3650,3571
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,06/01/2021,3480,3760,3700
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,07/01/2021,3000,3700,3500
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,08/01/2021,3360,3360,3360
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,09/01/2021,3395,3601,3535
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,11/01/2021,3500,3700,3600
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,12/01/2021,3511,3605,3580
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,13/01/2021,3500,3610,3600
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,14/01/2021,3460,3645,3520
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,15/01/2021,3500,3600,3580
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,16/01/2021,3455,3550,3475
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,18/01/2021,3225,3500,3450
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,20/01/2021,3000,3500,3400
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,21/01/2021,1675,3400,3390
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,22/01/2021,2560,3450,3450
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,24/01/2021,3480,4010,4010
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,25/01/2021,3500,3545,3505
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,27/01/2021,3450,4500,4500
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,28/01/2021,3500,3505,3505
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,30/01/2021,3200,3600,3400
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,01/02/2021,2900,3000,3000
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,02/02/2021,2700,3300,3300
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,03/02/2021,3185,3250,3200
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,04/02/2021,3300,4810,4810
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,05/02/2021,3000,4298,4155
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,06/02/2021,3100,3500,3250
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,08/02/2021,3000,3395,3290
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,09/02/2021,3200,3310,3300
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,10/02/2021,3295,3452,3390
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,11/02/2021,3350,3545,3405
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,12/02/2021,3000,3560,3385
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,13/02/2021,3291,3530,3450
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,15/02/2021,3250,3551,3490
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,16/02/2021,3355,3410,3410
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,17/02/2021,3100,3100,3100
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,18/02/2021,3400,3450,3400
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,19/02/2021,3305,3640,3500
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,20/02/2021,3220,3550,3400
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,22/02/2021,3260,3625,3436
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,23/02/2021,3325,3671,3665
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,24/02/2021,3421,3695,3600
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,25/02/2021,3470,3800,3770
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,27/02/2021,3600,3905,3650
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,01/03/2021,3650,4100,4050
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,02/03/2021,3800,4070,4015
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,03/03/2021,3600,3950,3700
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,04/03/2021,3700,3984,3950
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,05/03/2021,3700,3971,3925
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,06/03/2021,3675,3979,3900
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,08/03/2021,3670,3820,3800
Chattisgarh,Balodabazar,Bhatapara,"Green Peas",Other,09/03/2021,3660,3800,3660
Chattisgarh,Gariyaband,Devbhog,"Green Peas","Green Peas",05/01/2021,3660,3660,3660
Chattisgarh,Raigarh,Raigarh,"Green Peas","Gemin Peas Dal",07/01/2021,3400,3400,3400
Chattisgarh,Raigarh,Raigarh,"Green Peas","Gemin Peas Dal",11/02/2021,3100,3100,3100
Chattisgarh,Raigarh,Raigarh,"Green Peas","Gemin Peas Dal",25/02/2021,3000,3000,3000
Gujarat,Dahod,Dahod,"Green Peas",Other,02/01/2021,3200,3700,3500
Gujarat,Dahod,Dahod,"Green Peas",Other,04/01/2021,3200,3700,3500
Gujarat,Dahod,Dahod,"Green Peas",Other,05/01/2021,3200,3700,3500
Gujarat,Dahod,Dahod,"Green Peas",Other,11/01/2021,3200,3700,3500
Gujarat,Dahod,Dahod,"Green Peas",Other,18/01/2021,3200,3600,3400
Gujarat,Dahod,Dahod,"Green Peas",Other,21/01/2021,3200,3700,3500
Gujarat,Dahod,Dahod,"Green Peas",Other,25/01/2021,3200,3700,3500
Gujarat,Dahod,Dahod,"Green Peas",Other,28/01/2021,3200,3700,3650
Gujarat,Dahod,Dahod,"Green Peas",Other,29/01/2021,3200,3700,3500
Gujarat,Dahod,Dahod,"Green Peas",Other,30/01/2021,3200,3700,3500
Gujarat,Dahod,Dahod,"Green Peas",Other,09/02/2021,3200,3700,3500
Gujarat,Dahod,Dahod,"Green Peas",Other,11/02/2021,3200,3700,3500
Gujarat,Dahod,Dahod,"Green Peas",Other,18/02/2021,3200,3700,3500
Gujarat,Dahod,Dahod,"Green Peas",Other,20/02/2021,3200,3700,3500
Gujarat,Dahod,Dahod,"Green Peas",Other,22/02/2021,3200,3700,3500
Gujarat,Dahod,Dahod,"Green Peas",Other,24/02/2021,3200,3700,3425
Gujarat,Dahod,Dahod,"Green Peas",Other,25/02/2021,3200,3700,3400
Gujarat,Dahod,Dahod,"Green Peas",Other,26/02/2021,3200,3700,3500
Gujarat,Dahod,Dahod,"Green Peas",Other,27/02/2021,3200,3700,3400
Gujarat,Dahod,Dahod,"Green Peas",Other,01/03/2021,3200,3500,3450
Gujarat,Dahod,Dahod,"Green Peas",Other,05/03/2021,3200,3800,3700
Gujarat,Dahod,Dahod,"Green Peas",Other,06/03/2021,3400,4000,3750
Gujarat,Dahod,Dahod,"Green Peas",Other,08/03/2021,3500,4000,3750
Gujarat,Dahod,Dahod,"Green Peas",Other,09/03/2021,3500,4000,3800
Gujarat,Dahod,Dahod,"Green Peas",Other,10/03/2021,3500,3950,3825
Haryana,Fatehabad,Fatehabad,"Green Peas",Other,25/01/2021,800,1200,1000
Haryana,Sirsa,kalanwali,"Green Peas",Other,01/01/2021,1500,1700,1700
Haryana,Sirsa,kalanwali,"Green Peas",Other,02/01/2021,1500,1700,1700
Haryana,Sirsa,kalanwali,"Green Peas",Other,10/01/2021,1500,1600,1600
Haryana,Sirsa,kalanwali,"Green Peas",Other,20/01/2021,1600,2000,2000
Haryana,Sirsa,kalanwali,"Green Peas",Other,21/01/2021,1600,2000,2000
Haryana,Sirsa,kalanwali,"Green Peas",Other,10/02/2021,1200,1300,1300
Jharkhand,Garhwa,Gadhwah,"Green Peas","Gemin Peas Dal",22/01/2021,2200,2400,2300
Jharkhand,Garhwa,Gadhwah,"Green Peas","Gemin Peas Dal",15/02/2021,1400,1535,1500
Jharkhand,Garhwa,Gadhwah,"Green Peas","Gemin Peas Dal",16/02/2021,1480,1575,1525
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",01/01/2021,12200,15000,13600
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",02/01/2021,12200,15000,13600
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",04/01/2021,12200,15000,13600
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",05/01/2021,12200,15000,13600
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",06/01/2021,10500,13000,11750
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",07/01/2021,11000,13000,12000
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",08/01/2021,11000,13000,12000
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",11/01/2021,11000,13000,12000
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",12/01/2021,11000,13000,12000
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",15/01/2021,11000,14500,12750
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",16/01/2021,11000,14500,12750
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",18/01/2021,11000,14500,12750
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",19/01/2021,11500,12000,11750
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",21/01/2021,11500,12000,11750
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",22/01/2021,11500,12000,11750
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",25/01/2021,11500,12000,11750
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",27/01/2021,11500,12000,11750
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",28/01/2021,11000,14000,12500
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",29/01/2021,11000,14000,12500
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",30/01/2021,11000,14000,12500
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",01/02/2021,8000,12000,10000
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",02/02/2021,8000,12000,10000
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",03/02/2021,8000,12000,10000
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",04/02/2021,8000,12000,10000
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",05/02/2021,12000,14000,13000
Karnataka,Bangalore,Bangalore,"Green Peas","Green Peas",06/02/2021,12000,14000,13000
