state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
"West Bengal",Burdwan,Kalna,Jute,TD-5,01/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,02/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,06/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,07/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,08/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,09/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,11/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,12/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,13/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,14/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,15/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,16/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,18/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,19/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,20/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,21/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,22/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,23/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,25/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,26/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,27/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,28/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,29/01/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,02/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,03/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,04/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,05/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,08/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,09/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,10/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,11/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,12/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,13/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,15/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,16/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,17/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,18/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,19/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,20/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,22/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,23/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,24/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,25/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,26/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,27/02/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,01/03/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,02/03/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,03/03/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,04/03/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,05/03/2021,4900,5000,4900
"West Bengal",Burdwan,Kalna,Jute,TD-5,06/03/2021,4900,5000,5000
"West Bengal",Burdwan,Kalna,Jute,TD-5,08/03/2021,5000,5100,5000
"West Bengal",Burdwan,Kalna,Jute,TD-5,09/03/2021,5000,5100,5000
"West Bengal",Burdwan,Kalna,Jute,TD-5,10/03/2021,5000,5100,5000
"West Bengal",Burdwan,Kalna,Jute,TD-5,11/03/2021,5000,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,02/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,04/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,05/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,06/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,07/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,08/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,09/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,11/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,12/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,13/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,14/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,15/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,16/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,18/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,19/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,20/01/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,21/01/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,22/01/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,23/01/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,25/01/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,27/01/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,28/01/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,29/01/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,30/01/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,01/02/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,02/02/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,03/02/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,04/02/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,05/02/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,06/02/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,08/02/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,09/02/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,10/02/2021,4900,5100,5000
"West Bengal",Burdwan,Katwa,Jute,TD-5,11/02/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,12/02/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,13/02/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,15/02/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,17/02/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,18/02/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,19/02/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,20/02/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,22/02/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,23/02/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,24/02/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,25/02/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,26/02/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,27/02/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,01/03/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,02/03/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,03/03/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,04/03/2021,5000,5200,5100
"West Bengal",Burdwan,Katwa,Jute,TD-5,05/03/2021,5000,5200,5100
