state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Balodabazar,Bhatapara,"Lentil (Masur)(Whole)","Masoor Gola",01/01/2020,4100,4191,4150
Chattisgarh,Balodabazar,Bhatapara,"Lentil (Masur)(Whole)","Masoor Gola",02/01/2020,4005,4301,4290
Chattisgarh,Balodabazar,Bhatapara,"Lentil (Masur)(Whole)","Masoor Gola",03/01/2020,3600,4250,3900
Chattisgarh,Balodabazar,Bhatapara,"Lentil (Masur)(Whole)","Masoor Gola",04/01/2020,4350,4451,4400
Chattisgarh,Balodabazar,Bhatapara,"Lentil (Masur)(Whole)","Masoor Gola",06/01/2020,3950,4336,4271
Chattisgarh,Balodabazar,Bhatapara,"Lentil (Masur)(Whole)","Masoor Gola",07/01/2020,4151,4351,4311
Chattisgarh,Balodabazar,Bhatapara,"Lentil (Masur)(Whole)","Masoor Gola",08/01/2020,4200,4371,4371
Chattisgarh,Balodabazar,Bhatapara,"Lentil (Masur)(Whole)","Masoor Gola",10/01/2020,4280,4381,4301
Chattisgarh,Balodabazar,Bhatapara,"Lentil (Masur)(Whole)","Masoor Gola",11/01/2020,4281,4381,4326
Chattisgarh,Balodabazar,Bhatapara,"Lentil (Masur)(Whole)","Masoor Gola",13/01/2020,4250,4351,4311
Chattisgarh,Balodabazar,Bhatapara,"Lentil (Masur)(Whole)","Masoor Gola",14/01/2020,4050,4331,4331
Chattisgarh,Bemetara,Bemetara,"Lentil (Masur)(Whole)",Other,02/01/2020,4800,4800,4800
Chattisgarh,Mungeli,Munguli,"Lentil (Masur)(Whole)",Other,01/01/2020,4680,4710,4690
Chattisgarh,Mungeli,Munguli,"Lentil (Masur)(Whole)",Other,02/01/2020,4390,4390,4390
Chattisgarh,Mungeli,Munguli,"Lentil (Masur)(Whole)",Other,03/01/2020,4790,4790,4790
Chattisgarh,Mungeli,Munguli,"Lentil (Masur)(Whole)",Other,04/01/2020,4730,4730,4730
