state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Gujarat,Amreli,Amreli,"Green Gram (Moong)(Whole)",Hybrid,01/01/2020,6375,8055,8055
Gujarat,Amreli,Amreli,"Green Gram (Moong)(Whole)",Hybrid,06/01/2020,4625,6875,5755
Gujarat,Amreli,Amreli,"Green Gram (Moong)(Whole)",Hybrid,09/01/2020,3910,7125,6050
Gujarat,Amreli,Rajula,"Green Gram (Moong)(Whole)",Other,01/01/2020,3865,10255,7060
Gujarat,Amreli,Rajula,"Green Gram (Moong)(Whole)",Other,02/01/2020,5500,8500,7000
Gujarat,Amreli,Rajula,"Green Gram (Moong)(Whole)",Other,03/01/2020,6755,8500,7628
Gujarat,Amreli,Rajula,"Green Gram (Moong)(Whole)",Other,04/01/2020,5575,7965,6770
Gujarat,Amreli,Rajula,"Green Gram (Moong)(Whole)",Other,06/01/2020,6250,7125,6688
Gujarat,Amreli,Rajula,"Green Gram (Moong)(Whole)",Other,07/01/2020,6005,7125,6565
Gujarat,Amreli,Rajula,"Green Gram (Moong)(Whole)",Other,08/01/2020,6250,6725,6488
Gujarat,Amreli,Rajula,"Green Gram (Moong)(Whole)",Other,09/01/2020,6395,6395,6395
Gujarat,Amreli,Rajula,"Green Gram (Moong)(Whole)",Other,10/01/2020,6700,8750,7725
Gujarat,Amreli,Rajula,"Green Gram (Moong)(Whole)",Other,11/01/2020,6255,7000,6628
Gujarat,Amreli,Rajula,"Green Gram (Moong)(Whole)",Other,13/01/2020,6500,6855,6678
Gujarat,Amreli,Savarkundla,"Green Gram (Moong)(Whole)","Green (Whole)",01/01/2020,6000,7255,6628
Gujarat,Amreli,Savarkundla,"Green Gram (Moong)(Whole)","Green (Whole)",02/01/2020,4500,7000,5750
Gujarat,Amreli,Savarkundla,"Green Gram (Moong)(Whole)","Green (Whole)",03/01/2020,8055,8055,8055
Gujarat,Amreli,Savarkundla,"Green Gram (Moong)(Whole)","Green (Whole)",04/01/2020,5000,9535,7268
Gujarat,Amreli,Savarkundla,"Green Gram (Moong)(Whole)","Green (Whole)",06/01/2020,6250,7500,6875
Gujarat,Amreli,Savarkundla,"Green Gram (Moong)(Whole)","Green (Whole)",07/01/2020,6250,8405,7328
Gujarat,Amreli,Savarkundla,"Green Gram (Moong)(Whole)","Green (Whole)",08/01/2020,4500,7755,6128
Gujarat,Amreli,Savarkundla,"Green Gram (Moong)(Whole)","Green (Whole)",09/01/2020,5555,6255,5905
Gujarat,Amreli,Savarkundla,"Green Gram (Moong)(Whole)","Green (Whole)",10/01/2020,8000,10000,9000
Gujarat,Amreli,Savarkundla,"Green Gram (Moong)(Whole)","Green (Whole)",11/01/2020,6750,7750,7250
Gujarat,Banaskanth,Amirgadh,"Green Gram (Moong)(Whole)",Other,07/01/2020,4500,4500,4500
Gujarat,Banaskanth,Amirgadh,"Green Gram (Moong)(Whole)",Other,09/01/2020,5850,5850,5850
Gujarat,Banaskanth,Amirgadh,"Green Gram (Moong)(Whole)",Other,13/01/2020,3350,3350,3350
Gujarat,Banaskanth,Deesa(Bhildi),"Green Gram (Moong)(Whole)",Other,01/01/2020,5250,5250,5250
Gujarat,Banaskanth,Dhanera,"Green Gram (Moong)(Whole)",Other,02/01/2020,6975,6975,6975
Gujarat,Banaskanth,Dhanera,"Green Gram (Moong)(Whole)",Other,07/01/2020,6730,7000,6865
Gujarat,Banaskanth,Dhanera,"Green Gram (Moong)(Whole)",Other,15/01/2020,6205,6205,6205
Gujarat,Banaskanth,Tharad,"Green Gram (Moong)(Whole)",Other,03/01/2020,5555,7400,6477
Gujarat,Banaskanth,Tharad,"Green Gram (Moong)(Whole)",Other,04/01/2020,5400,7100,6250
Gujarat,Banaskanth,Tharad,"Green Gram (Moong)(Whole)",Other,06/01/2020,6055,7500,6777
Gujarat,Banaskanth,Tharad,"Green Gram (Moong)(Whole)",Other,07/01/2020,6000,7355,6677
Gujarat,Banaskanth,Tharad,"Green Gram (Moong)(Whole)",Other,08/01/2020,6000,6625,6312
Gujarat,Banaskanth,Tharad,"Green Gram (Moong)(Whole)",Other,09/01/2020,5500,6625,6062
Gujarat,Banaskanth,Tharad,"Green Gram (Moong)(Whole)",Other,11/01/2020,6055,6775,6415
Gujarat,Banaskanth,Tharad,"Green Gram (Moong)(Whole)",Other,13/01/2020,5505,6850,6177
Gujarat,Banaskanth,Tharad,"Green Gram (Moong)(Whole)",Other,15/01/2020,5800,6750,6275
Gujarat,Banaskanth,Vav,"Green Gram (Moong)(Whole)",Other,01/01/2020,4750,5400,5075
Gujarat,Banaskanth,Vav,"Green Gram (Moong)(Whole)",Other,03/01/2020,2505,8500,5502
Gujarat,Banaskanth,Vav,"Green Gram (Moong)(Whole)",Other,04/01/2020,7540,7540,7540
Gujarat,Banaskanth,Vav,"Green Gram (Moong)(Whole)",Other,06/01/2020,2750,5500,4125
Gujarat,Banaskanth,Vav,"Green Gram (Moong)(Whole)",Other,07/01/2020,7805,7805,7805
Gujarat,Banaskanth,Vav,"Green Gram (Moong)(Whole)",Other,08/01/2020,5550,5775,5662.5
Gujarat,Banaskanth,Vav,"Green Gram (Moong)(Whole)",Other,11/01/2020,5765,5765,5765
Gujarat,Banaskanth,Vav,"Green Gram (Moong)(Whole)",Other,13/01/2020,6000,8005,7002.5
Gujarat,Bhavnagar,Bhavnagar,"Green Gram (Moong)(Whole)",Other,01/01/2020,5510,7900,6705
Gujarat,Bhavnagar,Bhavnagar,"Green Gram (Moong)(Whole)",Other,03/01/2020,5800,6600,6200
Gujarat,Bhavnagar,Bhavnagar,"Green Gram (Moong)(Whole)",Other,04/01/2020,6005,8875,7440
Gujarat,Bhavnagar,Bhavnagar,"Green Gram (Moong)(Whole)",Other,06/01/2020,9025,9025,9025
Gujarat,Bhavnagar,Bhavnagar,"Green Gram (Moong)(Whole)",Other,07/01/2020,8100,8100,8100
Gujarat,Bhavnagar,Bhavnagar,"Green Gram (Moong)(Whole)",Other,08/01/2020,6705,7505,7105
Gujarat,Bhavnagar,Bhavnagar,"Green Gram (Moong)(Whole)",Other,09/01/2020,6000,6355,6175
Gujarat,Bhavnagar,Bhavnagar,"Green Gram (Moong)(Whole)",Other,10/01/2020,6900,8280,7590
Gujarat,Bhavnagar,Bhavnagar,"Green Gram (Moong)(Whole)",Other,13/01/2020,9600,9600,9600
Gujarat,Bhavnagar,"Mahuva(Station Road)","Green Gram (Moong)(Whole)",Hybrid,02/01/2020,5005,13165,9085
Gujarat,Bhavnagar,"Mahuva(Station Road)","Green Gram (Moong)(Whole)",Hybrid,03/01/2020,7525,13975,10000
Gujarat,Bhavnagar,"Mahuva(Station Road)","Green Gram (Moong)(Whole)",Hybrid,04/01/2020,4755,13125,8750
Gujarat,Bhavnagar,"Mahuva(Station Road)","Green Gram (Moong)(Whole)",Hybrid,07/01/2020,6005,12555,9280
Gujarat,Bhavnagar,"Mahuva(Station Road)","Green Gram (Moong)(Whole)",Hybrid,08/01/2020,5500,13040,9000
Gujarat,Bhavnagar,"Mahuva(Station Road)","Green Gram (Moong)(Whole)",Hybrid,10/01/2020,6000,10550,8275
