state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Balodabazar,Bhatapara,"Arhar (Tur/Red Gram)(Whole)",Other,08/01/2020,2212,2212,2212
Chattisgarh,Bilaspur,Sakri,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",15/01/2020,4500,4500,4500
Chattisgarh,Kabirdham,Kawardha,"Arhar (Tur/Red Gram)(Whole)",Other,02/01/2020,4000,4000,4000
Chattisgarh,Kabirdham,Kawardha,"Arhar (Tur/Red Gram)(Whole)",Other,06/01/2020,4658,4849,4841
Chattisgarh,Kabirdham,Kawardha,"Arhar (Tur/Red Gram)(Whole)",Other,08/01/2020,4702,4702,4702
Chattisgarh,Mungeli,Munguli,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",03/01/2020,4500,4600,4550
Chattisgarh,Mungeli,Munguli,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",09/01/2020,4780,4780,4780
Chattisgarh,Rajnandgaon,Rajnandgaon,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",06/01/2020,4200,4200,4200
Chattisgarh,Rajnandgaon,Rajnandgaon,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",08/01/2020,4350,4350,4350
Chattisgarh,Rajnandgaon,Rajnandgaon,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",11/01/2020,4252,4252,4252
Gujarat,Amreli,Amreli,"Arhar (Tur/Red Gram)(Whole)",Hybrid,01/01/2020,3750,4210,4210
Gujarat,Amreli,Amreli,"Arhar (Tur/Red Gram)(Whole)",Hybrid,02/01/2020,3755,3755,3755
Gujarat,Amreli,Amreli,"Arhar (Tur/Red Gram)(Whole)",Hybrid,03/01/2020,2000,4500,3740
Gujarat,Amreli,Amreli,"Arhar (Tur/Red Gram)(Whole)",Hybrid,04/01/2020,4995,4995,4995
Gujarat,Amreli,Amreli,"Arhar (Tur/Red Gram)(Whole)",Hybrid,06/01/2020,3280,4985,3500
Gujarat,Amreli,Amreli,"Arhar (Tur/Red Gram)(Whole)",Hybrid,08/01/2020,4000,5055,4250
Gujarat,Amreli,Amreli,"Arhar (Tur/Red Gram)(Whole)",Hybrid,09/01/2020,2755,4825,4005
Gujarat,Amreli,Amreli,"Arhar (Tur/Red Gram)(Whole)",Hybrid,10/01/2020,3255,4810,4700
