state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Kerala,Idukki,Thodupuzha,Rubber,Other,01/01/2021,13200,13300,13300
Kerala,Idukki,Thodupuzha,Rubber,Other,04/01/2021,13200,13300,13300
Kerala,Idukki,Thodupuzha,Rubber,Other,05/01/2021,12900,13000,13000
Kerala,Idukki,Thodupuzha,Rubber,Other,06/01/2021,12900,13000,13000
Kerala,Idukki,Thodupuzha,Rubber,Other,08/01/2021,12900,13000,13000
Kerala,Idukki,Thodupuzha,Rubber,Other,11/01/2021,12600,12700,12700
Kerala,Idukki,Thodupuzha,Rubber,Other,12/01/2021,12600,12700,12700
Kerala,Idukki,Thodupuzha,Rubber,Other,13/01/2021,12500,12600,12600
Kerala,Idukki,Thodupuzha,Rubber,Other,18/01/2021,12500,12600,12600
Kerala,Idukki,Thodupuzha,Rubber,Other,19/01/2021,12500,12600,12600
Kerala,Idukki,Thodupuzha,Rubber,Other,20/01/2021,12900,13000,13000
Kerala,Idukki,Thodupuzha,Rubber,Other,21/01/2021,12900,13000,13000
Kerala,Idukki,Thodupuzha,Rubber,Other,22/01/2021,12900,13000,13000
Kerala,Idukki,Thodupuzha,Rubber,Other,23/01/2021,12900,13000,13000
Kerala,Idukki,Thodupuzha,Rubber,Other,25/01/2021,12900,13000,13000
Kerala,Idukki,Thodupuzha,Rubber,Other,27/01/2021,12700,12800,12800
Kerala,Idukki,Thodupuzha,Rubber,Other,28/01/2021,12700,12800,12800
Kerala,Idukki,Thodupuzha,Rubber,Other,29/01/2021,12700,12800,12800
Kerala,Idukki,Thodupuzha,Rubber,Other,01/02/2021,12700,12800,12800
Kerala,Idukki,Thodupuzha,Rubber,Other,02/02/2021,12700,12800,12800
Kerala,Idukki,Thodupuzha,Rubber,Other,03/02/2021,12900,13000,13000
Kerala,Idukki,Thodupuzha,Rubber,Other,04/02/2021,12900,13000,13000
Kerala,Idukki,Thodupuzha,Rubber,Other,05/02/2021,12900,13000,13000
Kerala,Idukki,Thodupuzha,Rubber,Other,06/02/2021,12900,13000,13000
Kerala,Idukki,Thodupuzha,Rubber,Other,08/02/2021,12900,13000,13000
Kerala,Idukki,Thodupuzha,Rubber,Other,09/02/2021,12900,13000,13000
Kerala,Idukki,Thodupuzha,Rubber,Other,15/02/2021,12900,13000,13000
