state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Jashpur,Pathalgaon,Sugarcane,Other,28/02/2021,270,270,270
Chattisgarh,Surajpur,Pratappur,Sugarcane,Sugarcane,29/01/2021,275,275,275
Chattisgarh,Surajpur,Pratappur,Sugarcane,Sugarcane,01/03/2021,275,275,275
Chattisgarh,Surajpur,Pratappur,Sugarcane,Sugarcane,02/03/2021,275,275,275
Chattisgarh,Surajpur,Pratappur,Sugarcane,Sugarcane,03/03/2021,275,275,275
Chattisgarh,Surajpur,Pratappur,Sugarcane,Sugarcane,04/03/2021,275,275,275
Chattisgarh,Surajpur,Pratappur,Sugarcane,Sugarcane,05/03/2021,275,275,275
Chattisgarh,Surajpur,Pratappur,Sugarcane,Sugarcane,08/03/2021,275,275,275
Chattisgarh,Surajpur,Pratappur,Sugarcane,Sugarcane,09/03/2021,275,275,275
Chattisgarh,Surajpur,Pratappur,Sugarcane,Sugarcane,10/03/2021,275,275,275
Chattisgarh,Surajpur,Surajpur,Sugarcane,Other,11/01/2021,275,275,275
Chattisgarh,Surajpur,Surajpur,Sugarcane,Other,12/01/2021,275,275,275
Chattisgarh,Surajpur,Surajpur,Sugarcane,Other,15/01/2021,275,275,275
Chattisgarh,Surajpur,Surajpur,Sugarcane,Other,18/01/2021,275,275,275
Chattisgarh,Surajpur,Surajpur,Sugarcane,Other,22/01/2021,275,275,275
Chattisgarh,Surajpur,Surajpur,Sugarcane,Other,26/01/2021,275,275,275
Chattisgarh,Surajpur,Surajpur,Sugarcane,Other,27/01/2021,275,275,275
Chattisgarh,Surajpur,Surajpur,Sugarcane,Other,29/01/2021,275,275,275
Chattisgarh,Surajpur,Surajpur,Sugarcane,Other,31/01/2021,275,275,275
Chattisgarh,Surajpur,Surajpur,Sugarcane,Other,06/02/2021,275,275,275
Chattisgarh,Surguja,Ambikapur,Sugarcane,Other,04/01/2021,300,300,300
Chattisgarh,Surguja,Ambikapur,Sugarcane,Other,07/01/2021,300,300,300
Chattisgarh,Surguja,Ambikapur,Sugarcane,Other,13/01/2021,300,300,300
Chattisgarh,Surguja,Ambikapur,Sugarcane,Other,16/01/2021,300,300,300
Chattisgarh,Surguja,Ambikapur,Sugarcane,Other,27/01/2021,300,300,300
Chattisgarh,Surguja,Ambikapur,Sugarcane,Other,30/01/2021,300,300,300
Chattisgarh,Surguja,Ambikapur,Sugarcane,Other,03/02/2021,300,300,300
Chattisgarh,Surguja,Ambikapur,Sugarcane,Other,04/02/2021,300,300,300
Chattisgarh,Surguja,Ambikapur,Sugarcane,Other,05/02/2021,300,300,300
Chattisgarh,Surguja,Ambikapur,Sugarcane,Other,06/02/2021,300,300,300
Chattisgarh,Surguja,Ambikapur,Sugarcane,Other,28/02/2021,300,300,300
Chattisgarh,Surguja,Sitapur,Sugarcane,Other,14/01/2021,300,300,300
Chattisgarh,Surguja,Sitapur,Sugarcane,Other,18/01/2021,290,300,290
Chattisgarh,Surguja,Sitapur,Sugarcane,Other,27/01/2021,300,300,300
Chattisgarh,Surguja,Sitapur,Sugarcane,Other,31/01/2021,300,300,300
Chattisgarh,Surguja,Sitapur,Sugarcane,Other,24/02/2021,300,300,300
Chattisgarh,Surguja,Sitapur,Sugarcane,Other,25/02/2021,300,300,300
Chattisgarh,Surguja,Sitapur,Sugarcane,Other,28/02/2021,300,300,300
