state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Balodabazar,Bhatapara,Tobacco,Other,30/01/2020,4000,6300,5100
Chattisgarh,Balodabazar,Bhatapara,Tobacco,Other,30/06/2020,4023,5457,5150
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,13/01/2020,3500,6000,4750
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,20/01/2020,3800,7800,5800
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,28/01/2020,4000,4000,4000
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,10/02/2020,3800,4000,3900
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,17/02/2020,4000,4200,4100
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,24/02/2020,3500,5000,4250
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,29/02/2020,4700,4700,4700
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,09/03/2020,3500,5000,4300
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,26/03/2020,5000,5000,5000
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,04/07/2020,5000,5000,5000
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,11/07/2020,5000,5000,5000
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,21/07/2020,5000,5000,5000
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,22/07/2020,5000,5000,5000
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,31/07/2020,3400,3400,3400
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,14/08/2020,4300,4300,4300
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,31/08/2020,4000,4800,4400
Chattisgarh,Balrampur,Ramanujganj,Tobacco,Other,07/09/2020,4200,4200,4200
Chattisgarh,Jashpur,Jaspur,Tobacco,Other,31/08/2020,3300,3300,3300
Chattisgarh,Jashpur,Pathalgaon,Tobacco,Other,29/02/2020,8000,8000,8000
Chattisgarh,Koria,Manendragarh,Tobacco,Other,17/03/2020,3500,3500,3500
Chattisgarh,Koria,Manendragarh,Tobacco,Other,24/07/2020,5200,5200,5200
Chattisgarh,Koria,Manendragarh,Tobacco,Other,30/08/2020,4800,5100,4900
Chattisgarh,Mahasamund,Bagbahra,Tobacco,Beedi,30/04/2020,4200,4200,4200
Chattisgarh,Surguja,Ambikapur,Tobacco,Other,30/06/2020,3500,6500,5000
Chattisgarh,Surguja,Ambikapur,Tobacco,Other,12/09/2020,5000,5000,5000
Chattisgarh,Surguja,Ambikapur,Tobacco,Other,13/09/2020,5000,5000,5000
Chattisgarh,Surguja,Ambikapur,Tobacco,Other,14/09/2020,5100,5100,5100
Gujarat,Banaskanth,Deesa,Tobacco,Other,12/05/2020,4100,6255,5000
Gujarat,Banaskanth,Deesa,Tobacco,Other,14/05/2020,4250,6700,5250
Gujarat,Banaskanth,Deesa,Tobacco,Other,15/05/2020,4250,6565,5250
Gujarat,Banaskanth,Deesa,Tobacco,Other,16/05/2020,4500,6655,5500
Gujarat,Banaskanth,Deesa,Tobacco,Other,18/05/2020,4500,6775,5500
Gujarat,Banaskanth,Deesa,Tobacco,Other,23/05/2020,4500,6755,5500
Gujarat,Banaskanth,Deesa,Tobacco,Other,25/05/2020,4000,6555,5000
Gujarat,Banaskanth,Deesa,Tobacco,Other,26/05/2020,4005,6505,5000
Gujarat,Banaskanth,Deesa,Tobacco,Other,27/05/2020,4000,6275,5000
Gujarat,Banaskanth,Deesa,Tobacco,Other,28/05/2020,4500,6375,5500
Gujarat,Banaskanth,Deesa,Tobacco,Other,29/05/2020,4500,6305,5400
Gujarat,Banaskanth,Deesa,Tobacco,Other,02/06/2020,5000,7305,5750
Gujarat,Banaskanth,Deesa,Tobacco,Other,03/06/2020,5000,7110,5750
Gujarat,Banaskanth,Deesa,Tobacco,Other,04/06/2020,5250,7155,5650
Gujarat,Banaskanth,Deesa,Tobacco,Other,06/06/2020,5250,7355,6000
Gujarat,Banaskanth,Deesa,Tobacco,Other,08/06/2020,5000,7155,5900
Gujarat,Banaskanth,Deesa,Tobacco,Other,09/06/2020,5250,7175,5800
Gujarat,Banaskanth,Deesa,Tobacco,Other,10/06/2020,5000,6900,5750
Gujarat,Banaskanth,Deesa,Tobacco,Other,11/06/2020,5250,7305,6000
Gujarat,Banaskanth,Deesa,Tobacco,Other,12/06/2020,5500,7500,6000
Gujarat,Banaskanth,Deesa,Tobacco,Other,13/06/2020,5250,7055,5750
