state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,02/01/2021,7500,7500,7500
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,04/01/2021,7800,7800,7800
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,05/01/2021,8000,8000,8000
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,06/01/2021,8200,8200,8200
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,07/01/2021,8100,8100,8100
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,08/01/2021,8200,8200,8200
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,09/01/2021,8000,8000,8000
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,11/01/2021,8200,8200,8200
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,12/01/2021,8300,8300,8300
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,13/01/2021,8500,8500,8500
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,14/01/2021,8300,8300,8300
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,15/01/2021,8500,8500,8500
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,16/01/2021,8100,8100,8100
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,18/01/2021,8500,8500,8500
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,19/01/2021,8300,8300,8300
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,20/01/2021,8200,8200,8200
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,21/01/2021,8100,8100,8100
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,22/01/2021,8000,8000,8000
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,23/01/2021,8200,8200,8200
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,25/01/2021,8300,8300,8300
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,26/01/2021,8500,8500,8500
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,27/01/2021,8400,8400,8400
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,29/01/2021,8200,8200,8200
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,30/01/2021,8500,8500,8500
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,02/02/2021,8300,8300,8300
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,03/02/2021,8200,8200,8200
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,04/02/2021,9000,9000,9000
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,05/02/2021,9500,9500,9500
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,06/02/2021,9400,9400,9400
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,08/02/2021,9800,9800,9800
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,09/02/2021,9600,9600,9600
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,10/02/2021,9000,9000,9000
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,11/02/2021,9700,9700,9700
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,12/02/2021,10500,10500,10500
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,13/02/2021,10600,10600,10600
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,15/02/2021,9700,9700,9700
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,16/02/2021,9900,9900,9900
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,17/02/2021,10000,10000,10000
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,18/02/2021,9800,9800,9800
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,19/02/2021,9600,9600,9600
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,20/02/2021,9700,9700,9700
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,22/02/2021,9900,9900,9900
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,23/02/2021,9600,9600,9600
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,24/02/2021,9800,9800,9800
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,25/02/2021,10000,10000,10000
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,26/02/2021,9800,9800,9800
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,27/02/2021,9400,9400,9400
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,02/03/2021,9000,9000,9000
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,03/03/2021,9300,9300,9300
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,04/03/2021,8500,8500,8500
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,05/03/2021,8400,8400,8400
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,06/03/2021,8500,8500,8500
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,08/03/2021,8300,8300,8300
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,09/03/2021,8000,8000,8000
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,10/03/2021,7800,7800,7800
Chattisgarh,Durg,Durg,Apple,Apple,01/01/2021,7000,10000,8500
Chattisgarh,Durg,Durg,Apple,Apple,02/01/2021,8000,10000,9000
Chattisgarh,Durg,Durg,Apple,Apple,03/01/2021,9000,11000,10000
Chattisgarh,Durg,Durg,Apple,Apple,05/01/2021,8000,10000,9000
Chattisgarh,Durg,Durg,Apple,Apple,06/01/2021,7000,10000,8500
Chattisgarh,Durg,Durg,Apple,Apple,07/01/2021,8000,10000,9000
Chattisgarh,Durg,Durg,Apple,Apple,08/01/2021,8000,12000,10000
Chattisgarh,Durg,Durg,Apple,Apple,09/01/2021,10000,12000,11000
Chattisgarh,Durg,Durg,Apple,Apple,10/01/2021,8000,10000,9000
Chattisgarh,Durg,Durg,Apple,Apple,12/01/2021,9000,10000,9500
Chattisgarh,Durg,Durg,Apple,Apple,13/01/2021,8000,10000,9000
Chattisgarh,Durg,Durg,Apple,Apple,14/01/2021,7000,10000,8500
Chattisgarh,Durg,Durg,Apple,Apple,15/01/2021,8000,10000,9000
Chattisgarh,Durg,Durg,Apple,Apple,16/01/2021,8000,10000,9000
Chattisgarh,Durg,Durg,Apple,Apple,17/01/2021,8000,10000,9000
Chattisgarh,Durg,Durg,Apple,Apple,19/01/2021,9000,10000,9500
