state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",02/01/2021,1600,1600,1600
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",04/01/2021,1500,1500,1500
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",05/01/2021,1600,1600,1600
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",06/01/2021,1800,1800,1800
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",07/01/2021,1600,1600,1600
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",08/01/2021,1700,1700,1700
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",09/01/2021,1650,1650,1650
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",11/01/2021,1700,1700,1700
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",12/01/2021,1600,1600,1600
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",13/01/2021,1550,1550,1550
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",14/01/2021,1500,1500,1500
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",15/01/2021,1600,1600,1600
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",16/01/2021,1500,1500,1500
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",18/01/2021,1400,1400,1400
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",19/01/2021,1500,1500,1500
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",20/01/2021,1600,1600,1600
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",21/01/2021,1450,1450,1450
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",22/01/2021,1500,1500,1500
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",23/01/2021,1600,1600,1600
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",25/01/2021,1600,1600,1600
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",26/01/2021,1500,1500,1500
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",27/01/2021,1600,1600,1600
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",29/01/2021,1500,1500,1500
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",02/02/2021,1550,1550,1550
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",03/02/2021,1600,1600,1600
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",04/02/2021,1650,1650,1650
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",05/02/2021,1600,1600,1600
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",06/02/2021,1500,1500,1500
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",08/02/2021,1600,1600,1600
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",09/02/2021,1600,1600,1600
Chattisgarh,Bilaspur,Tiphra,Banana,"Banana - Ripe",10/02/2021,1500,1500,1500
