state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Goa,"North Goa",Mapusa,Grapes,Green,01/01/2020,3000,3000,3000
Goa,"North Goa",Mapusa,Grapes,Green,03/01/2020,3000,3000,3000
Goa,"North Goa",Mapusa,Grapes,Green,05/01/2020,3000,3000,3000
Goa,"North Goa",Mapusa,Grapes,Green,06/01/2020,5000,5000,5000
Goa,"North Goa",Mapusa,Grapes,Green,08/01/2020,3000,3000,3000
Goa,"North Goa",Mapusa,Grapes,Green,10/01/2020,3000,5000,4000
Goa,"North Goa",Mapusa,Grapes,Green,11/01/2020,3000,5000,4000
Goa,"North Goa",Mapusa,Grapes,Green,12/01/2020,4000,6000,5000
Goa,"North Goa",Mapusa,Grapes,Green,15/01/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,16/01/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,17/01/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,18/01/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,19/01/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,20/01/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,21/01/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,22/01/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,23/01/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,24/01/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,25/01/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,27/01/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,28/01/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,30/01/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,31/01/2020,3000,3000,3000
Goa,"North Goa",Mapusa,Grapes,Green,01/02/2020,3000,3000,3000
Goa,"North Goa",Mapusa,Grapes,Green,02/02/2020,3000,3000,3000
Goa,"North Goa",Mapusa,Grapes,Green,03/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,07/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,08/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,09/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,10/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,11/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,13/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,14/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,17/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,18/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,19/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,20/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,21/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,22/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,23/02/2020,5000,5500,5300
Goa,"North Goa",Mapusa,Grapes,Green,24/02/2020,3000,5000,4000
Goa,"North Goa",Mapusa,Grapes,Green,25/02/2020,3000,5000,4000
Goa,"North Goa",Mapusa,Grapes,Green,26/02/2020,3000,5000,4000
Goa,"North Goa",Mapusa,Grapes,Green,10/05/2020,3000,3000,3000
Goa,"North Goa",Mapusa,Grapes,Green,11/05/2020,3000,3000,3000
Goa,"North Goa",Mapusa,Grapes,Green,13/05/2020,3000,3000,3000
Goa,"North Goa",Mapusa,Grapes,Green,15/05/2020,3000,3000,3000
Goa,"North Goa",Mapusa,Grapes,Green,16/05/2020,3000,3000,3000
Goa,"North Goa",Mapusa,Grapes,Green,18/05/2020,3000,3000,3000
Goa,"North Goa",Mapusa,Grapes,Green,20/05/2020,3000,3000,3000
Goa,"North Goa",Mapusa,Grapes,Green,27/05/2020,3000,3000,3000
Haryana,Ambala,"Ambala Cantt.",Grapes,Black,15/01/2020,7000,10000,9800
Haryana,Ambala,"Ambala Cantt.",Grapes,Black,30/01/2020,6000,10000,8500
Haryana,Ambala,"Ambala Cantt.",Grapes,Black,05/02/2020,4500,10000,8500
Haryana,Ambala,"Ambala Cantt.",Grapes,Black,06/02/2020,4500,9000,7500
Haryana,Ambala,"Ambala Cantt.",Grapes,Black,09/02/2020,4600,8000,7500
Haryana,Ambala,"Ambala Cantt.",Grapes,Black,25/02/2020,4000,8000,7500
Haryana,Ambala,"Ambala Cantt.",Grapes,Black,26/02/2020,4000,8500,6000
Haryana,Ambala,"Ambala Cantt.",Grapes,Black,27/02/2020,4000,8500,5500
Haryana,Ambala,"Ambala Cantt.",Grapes,Black,17/03/2020,5000,6000,5500
Haryana,Ambala,Barara,Grapes,Other,03/01/2020,8000,11000,8000
Haryana,Ambala,Barara,Grapes,Other,11/01/2020,8000,10000,8000
Haryana,Ambala,Barara,Grapes,Other,16/01/2020,5000,5500,5000
Haryana,Ambala,Barara,Grapes,Other,23/01/2020,5000,5500,5000
Haryana,Ambala,Barara,Grapes,Other,02/02/2020,4500,5600,4500
Haryana,Ambala,Barara,Grapes,Other,11/02/2020,5000,5500,5000
Haryana,Ambala,Barara,Grapes,Other,12/02/2020,5000,6000,5000
Haryana,Ambala,Barara,Grapes,Other,14/02/2020,5000,5500,5000
Haryana,Ambala,Barara,Grapes,Other,17/02/2020,5000,6000,5000
Haryana,Ambala,Barara,Grapes,Other,19/02/2020,5000,5500,5000
Haryana,Ambala,Barara,Grapes,Other,01/03/2020,5000,6000,5000
Haryana,Ambala,Barara,Grapes,Other,04/03/2020,5000,6580,5000
Haryana,Ambala,Barara,Grapes,Other,11/03/2020,5000,6000,5000
Haryana,Ambala,Barara,Grapes,Other,14/03/2020,6500,7000,6500
Haryana,Ambala,Barara,Grapes,Other,17/03/2020,4000,6000,4000
Haryana,Ambala,Barara,Grapes,Other,27/03/2020,6000,6500,6000
