state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Hybrid,22/05/2020,1700,2000,1850
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Hybrid,28/05/2020,1900,2100,2000
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,30/05/2020,1500,1700,1600
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,31/05/2020,1400,1600,1500
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,05/06/2020,1500,1700,1600
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,06/06/2020,1500,1700,1600
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,08/06/2020,1500,1700,1600
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,09/06/2020,1500,1700,1600
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,10/06/2020,1550,1700,1625
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,13/06/2020,1500,1700,1600
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,16/06/2020,1500,1700,1600
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,17/06/2020,1500,1700,1600
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,18/06/2020,1450,1650,1550
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,19/06/2020,1400,1600,1500
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,20/06/2020,1400,1600,1600
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,23/06/2020,1500,1700,1600
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,25/06/2020,1450,1650,1550
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,29/06/2020,1400,1600,1500
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,30/06/2020,1400,1600,1500
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,04/07/2020,1350,1550,1450
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,06/07/2020,1350,1550,1450
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,07/07/2020,1350,1550,1450
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,09/07/2020,1350,1550,1450
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,10/07/2020,1350,1550,1450
"Andhra Pradesh",Anantapur,Rayadurg,Maize,Local,14/07/2020,1350,1550,1450
