state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Gujarat,Ahmedabad,Ahmedabad,"Mango (Raw-Ripe)",Other,04/02/2021,4000,6000,5100
Gujarat,Ahmedabad,Ahmedabad,"Mango (Raw-Ripe)",Other,05/02/2021,4000,6000,5250
Gujarat,Ahmedabad,Ahmedabad,"Mango (Raw-Ripe)",Other,06/02/2021,3500,6000,3900
Gujarat,Ahmedabad,Ahmedabad,"Mango (Raw-Ripe)",Other,08/02/2021,3000,4000,3750
Gujarat,Ahmedabad,Ahmedabad,"Mango (Raw-Ripe)",Other,09/02/2021,4000,5500,5000
Gujarat,Ahmedabad,Ahmedabad,"Mango (Raw-Ripe)",Other,10/02/2021,4000,4500,4350
Gujarat,Ahmedabad,Ahmedabad,"Mango (Raw-Ripe)",Other,11/02/2021,4300,5000,4400
Gujarat,Ahmedabad,Ahmedabad,"Mango (Raw-Ripe)",Other,12/02/2021,4000,5000,4400
Gujarat,Ahmedabad,Ahmedabad,"Mango (Raw-Ripe)",Other,13/02/2021,4000,6000,4400
Gujarat,Ahmedabad,Ahmedabad,"Mango (Raw-Ripe)",Other,15/02/2021,4500,5000,4850
Gujarat,Ahmedabad,Ahmedabad,"Mango (Raw-Ripe)",Other,16/02/2021,3000,6000,4750
Gujarat,Ahmedabad,Ahmedabad,"Mango (Raw-Ripe)",Other,22/02/2021,4500,4800,4700
Gujarat,Ahmedabad,Ahmedabad,"Mango (Raw-Ripe)",Other,27/02/2021,3000,6000,4700
Gujarat,Surat,Surat,"Mango (Raw-Ripe)",Other,23/02/2021,3500,4500,4000
Gujarat,Surat,Surat,"Mango (Raw-Ripe)",Other,24/02/2021,3000,6000,4500
Gujarat,Surat,Surat,"Mango (Raw-Ripe)",Other,25/02/2021,3000,5500,4250
Gujarat,Surat,Surat,"Mango (Raw-Ripe)",Other,26/02/2021,3000,5250,4125
Gujarat,Surat,Surat,"Mango (Raw-Ripe)",Other,27/02/2021,3500,4500,4000
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,01/01/2021,1400,1600,1500
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,02/01/2021,1500,1800,1700
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,03/01/2021,1500,1800,1700
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,04/01/2021,1500,1800,1700
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,05/01/2021,1500,1900,1750
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,06/01/2021,1500,1700,1650
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,08/01/2021,1500,1700,1650
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,09/01/2021,1500,1800,1700
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,10/01/2021,1500,1800,1700
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,11/01/2021,1500,1800,1700
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,16/01/2021,1500,1800,1700
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,22/01/2021,1300,1800,1650
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,23/01/2021,1200,1700,1500
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,24/01/2021,1200,1700,1500
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,25/01/2021,1200,1700,1500
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,26/01/2021,1200,1700,1500
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,27/01/2021,1500,2000,1800
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,28/01/2021,1500,1900,1750
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,29/01/2021,1500,1900,1750
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,30/01/2021,1500,1900,1750
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,31/01/2021,1500,1900,1750
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,02/02/2021,1500,2000,1950
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,03/02/2021,1500,2000,1950
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,04/02/2021,1800,2200,2050
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,05/02/2021,1700,2200,2000
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Mango (Raw-Ripe)",Other,07/02/2021,1500,1800,1700
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,01/01/2021,5000,5200,5100
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,02/01/2021,5000,5200,5100
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,03/01/2021,5000,5200,5100
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,04/01/2021,5000,5200,5100
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,06/01/2021,5000,5200,5100
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,07/01/2021,5000,5200,5100
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,11/01/2021,5000,5200,5100
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,14/01/2021,5000,5100,5050
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,15/01/2021,5000,5200,5100
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,16/01/2021,5000,5100,5050
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,17/01/2021,5000,5200,5100
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,18/01/2021,5000,5200,5100
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,19/01/2021,5000,5200,5100
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,20/01/2021,5000,5100,5050
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,25/01/2021,5000,5200,5100
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,26/01/2021,5000,5100,5050
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,27/01/2021,5000,5200,5100
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,28/01/2021,5000,5100,5050
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,15/02/2021,3500,3700,3600
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,16/02/2021,3500,3700,3600
Kerala,Alappuzha,Alappuzha,"Mango (Raw-Ripe)",Other,17/02/2021,3500,3700,3600
