state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Jashpur,Jaspur,"Ragi (Finger Millet)",Other,10/01/2020,2200,2200,2200
Chattisgarh,Jashpur,Jaspur,"Ragi (Finger Millet)",Other,15/01/2020,2200,2200,2200
Chattisgarh,Jashpur,Jaspur,"Ragi (Finger Millet)",Other,29/01/2020,2500,2500,2500
Chattisgarh,Jashpur,Jaspur,"Ragi (Finger Millet)",Other,07/09/2020,2500,2500,2500
Chattisgarh,Jashpur,Jaspur,"Ragi (Finger Millet)",Other,14/09/2020,2000,2000,2000
Chattisgarh,Jashpur,Jaspur,"Ragi (Finger Millet)",Other,21/09/2020,2250,2500,2250
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,16/03/2020,1900,1900,1900
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,21/04/2020,1900,1900,1900
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,23/04/2020,1900,1900,1900
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,25/04/2020,1900,1900,1900
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,27/04/2020,1900,1900,1900
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,28/04/2020,1900,1900,1900
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,15/06/2020,2000,2000,2000
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,30/06/2020,2000,2000,2000
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,01/07/2020,2900,2900,2900
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,04/07/2020,2900,2900,2900
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,06/07/2020,2900,2900,2900
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,11/07/2020,2900,2900,2900
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,22/07/2020,2900,2900,2900
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,25/07/2020,2900,2900,2900
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,28/07/2020,2900,2900,2900
Chattisgarh,Jashpur,Pathalgaon,"Ragi (Finger Millet)",Local,31/07/2020,2900,2900,2900
Karnataka,Bangalore,Bangalore,"Ragi (Finger Millet)",Fine,01/01/2020,2800,3000,2900
Karnataka,Bangalore,Bangalore,"Ragi (Finger Millet)",Fine,02/01/2020,2800,3000,2900
Karnataka,Bangalore,Bangalore,"Ragi (Finger Millet)",Fine,03/01/2020,2800,3000,2900
Karnataka,Bangalore,Bangalore,"Ragi (Finger Millet)",Fine,04/01/2020,2800,3000,2900
Karnataka,Bangalore,Bangalore,"Ragi (Finger Millet)",Fine,06/01/2020,2800,3000,2900
Karnataka,Bangalore,Bangalore,"Ragi (Finger Millet)",Fine,07/01/2020,2800,3000,2900
Karnataka,Bangalore,Bangalore,"Ragi (Finger Millet)",Fine,08/01/2020,2800,3000,2900
