state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",19/01/2020,4000,5000,4500
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",21/01/2020,3000,5000,4000
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",22/01/2020,4000,5000,4500
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",23/01/2020,1800,2200,2000
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",24/01/2020,3000,3500,3250
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",25/01/2020,3500,3700,3600
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",28/01/2020,3000,3500,3250
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",29/01/2020,3000,4000,3500
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",30/01/2020,3500,4000,3750
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",31/01/2020,3600,4000,3800
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",01/02/2020,3500,4000,3750
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",02/02/2020,3000,3500,3250
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",04/02/2020,3000,3500,3250
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",06/02/2020,3000,3500,3250
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",07/02/2020,3200,3400,3300
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",08/02/2020,3000,4000,3500
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",09/02/2020,3500,4000,3750
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",11/02/2020,3500,4500,4000
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",12/02/2020,4000,5000,4500
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",13/02/2020,4000,5000,4500
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",14/02/2020,4500,5000,4750
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",15/02/2020,3500,4500,4000
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",16/02/2020,4000,5000,4500
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",18/02/2020,3000,3500,3250
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",19/02/2020,3200,3400,3300
Chattisgarh,Durg,Durg,"Papaya (Raw)","Papaya (Raw)",20/02/2020,3500,4000,3750
