state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,01/01/2021,1301,1455,1351
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,02/01/2021,1300,1385,1345
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,04/01/2021,1250,1391,1325
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,05/01/2021,1325,1531,1475
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,06/01/2021,1390,1558,1490
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,07/01/2021,1200,1495,1285
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,08/01/2021,4150,4340,4325
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,09/01/2021,1276,1575,1485
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,11/01/2021,1200,1451,1325
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,12/01/2021,1201,1390,1325
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,13/01/2021,1215,1415,1300
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,14/01/2021,1100,1500,1150
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,15/01/2021,1271,1486,1325
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,16/01/2021,1200,1575,1370
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,18/01/2021,1200,1440,1400
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,19/01/2021,1100,1300,1200
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,20/01/2021,1280,1371,1300
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,21/01/2021,1200,1675,1352
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,22/01/2021,1100,1611,1335
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,24/01/2021,1400,1711,1448
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,25/01/2021,1400,1621,1561
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,27/01/2021,1400,1600,1445
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,28/01/2021,1260,1651,1563
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,29/01/2021,1300,1300,1300
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,30/01/2021,1360,1500,1370
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,01/02/2021,1250,1590,1446
Chattisgarh,Balodabazar,Bhatapara,Wheat,Local,02/02/2021,1300,1655,1455
